Year,Month,Day,Period,SOLAR_SYSTEM
2018,2,5,1,0.0
2018,2,5,2,0.0
2018,2,5,3,0.0
2018,2,5,4,0.0
2018,2,5,5,0.0
2018,2,5,6,0.0
2018,2,5,7,0.0
2018,2,5,8,0.0
2018,2,5,9,0.0
2018,2,5,10,0.0
2018,2,5,11,0.0
2018,2,5,12,0.0
2018,2,5,13,0.0
2018,2,5,14,7.984342575073242
2018,2,5,15,264.7006741166115
2018,2,5,16,387.1936682462692
2018,2,5,17,444.7027473449707
2018,2,5,18,447.55016016960144
2018,2,5,19,369.2560019493103
2018,2,5,20,365.27136570215225
2018,2,5,21,354.4340450167656
2018,2,5,22,368.54752749204636
2018,2,5,23,295.77199399471283
2018,2,5,24,106.80573276430368
2018,2,6,1,0.0
2018,2,6,2,0.0
2018,2,6,3,0.0
2018,2,6,4,0.0
2018,2,6,5,0.0
2018,2,6,6,0.0
2018,2,6,7,0.0
2018,2,6,8,0.0
2018,2,6,9,0.0
2018,2,6,10,0.0
2018,2,6,11,0.0
2018,2,6,12,0.0
2018,2,6,13,0.0
2018,2,6,14,0.36041999608278275
2018,2,6,15,34.60145092755556
2018,2,6,16,81.73291628062725
2018,2,6,17,117.94977229833603
2018,2,6,18,152.87648151814938
2018,2,6,19,124.24414598941803
2018,2,6,20,120.1631582826376
2018,2,6,21,99.00066869705915
2018,2,6,22,99.51515052467585
2018,2,6,23,58.65990209579468
2018,2,6,24,16.431041500531137
2018,2,7,1,0.0
2018,2,7,2,0.0
2018,2,7,3,0.0
2018,2,7,4,0.0
2018,2,7,5,0.0
2018,2,7,6,0.0
2018,2,7,7,0.0
2018,2,7,8,0.0
2018,2,7,9,0.0
2018,2,7,10,0.0
2018,2,7,11,0.0
2018,2,7,12,0.0
2018,2,7,13,0.0
2018,2,7,14,0.18020999804139137
2018,2,7,15,58.57088511623442
2018,2,7,16,101.80124398320913
2018,2,7,17,150.66714595258236
2018,2,7,18,172.93552921712399
2018,2,7,19,213.10266632586718
2018,2,7,20,207.59230813384056
2018,2,7,21,193.9752949550748
2018,2,7,22,276.10177129507065
2018,2,7,23,232.69156624376774
2018,2,7,24,90.09732112661004
2018,2,8,1,0.0
2018,2,8,2,0.0
2018,2,8,3,0.0
2018,2,8,4,0.0
2018,2,8,5,0.0
2018,2,8,6,0.0
2018,2,8,7,0.0
2018,2,8,8,0.0
2018,2,8,9,0.0
2018,2,8,10,0.0
2018,2,8,11,0.0
2018,2,8,12,0.0
2018,2,8,13,0.0
2018,2,8,14,14.220689788460732
2018,2,8,15,261.7758195102215
2018,2,8,16,432.08799344301224
2018,2,8,17,471.47709107398987
2018,2,8,18,471.6744673848152
2018,2,8,19,470.55569964647293
2018,2,8,20,468.0885158777237
2018,2,8,21,468.3506513237953
2018,2,8,22,450.9951651096344
2018,2,8,23,389.60697788000107
2018,2,8,24,145.37124536186457
2018,2,9,1,0.0
2018,2,9,2,0.0
2018,2,9,3,0.0
2018,2,9,4,0.0
2018,2,9,5,0.0
2018,2,9,6,0.0
2018,2,9,7,0.0
