Year,Month,Day,Period,SOLAR_SYSTEM
2018,1,30,14,25.827536208333328
2018,1,30,15,278.67718312499994
2018,1,30,16,519.2072055416667
2018,1,30,17,551.1541804166667
2018,1,30,18,558.3666962916667
2018,1,30,19,540.1000293333333
2018,1,30,20,536.4962705833334
2018,1,30,21,547.6595593333335
2018,1,30,22,555.1964775833334
2018,1,30,23,474.50174345833324
2018,1,30,24,171.20804945833325
2018,1,31,1,3.20063625
2018,1,31,2,0.0
2018,1,31,3,0.0
2018,1,31,4,0.0
2018,1,31,5,0.0
2018,1,31,6,0.0
2018,1,31,7,0.0
2018,1,31,8,0.0
2018,1,31,9,0.0
2018,1,31,10,0.0
2018,1,31,11,0.0
2018,1,31,12,0.0
2018,1,31,13,0.0
2018,1,31,14,34.51653770833333
2018,1,31,15,270.38675575
2018,1,31,16,487.08077345833334
2018,1,31,17,532.742339375
2018,1,31,18,476.20958099999996
2018,1,31,19,510.36348387500004
2018,1,31,20,531.9811257083334
2018,1,31,21,558.7564218749999
2018,1,31,22,550.6469905833333
2018,1,31,23,452.88184245833327
2018,1,31,24,168.69774249999998
2018,2,1,1,3.8581537500000005
2018,2,1,2,0.0
2018,2,1,3,0.0
2018,2,1,4,0.0
2018,2,1,5,0.0
2018,2,1,6,0.0
2018,2,1,7,0.0
2018,2,1,8,0.0
2018,2,1,9,0.0
2018,2,1,10,0.0
2018,2,1,11,0.0
2018,2,1,12,0.0
2018,2,1,13,0.0
2018,2,1,14,16.395096416666668
2018,2,1,15,151.30276820833333
2018,2,1,16,294.75144275
2018,2,1,17,394.894710625
2018,2,1,18,413.34422683333344
2018,2,1,19,460.9028915
2018,2,1,20,442.7757608333334
2018,2,1,21,454.8383113333334
2018,2,1,22,390.97850162500004
2018,2,1,23,286.87025462500003
2018,2,1,24,94.77482033333331
2018,2,2,1,2.224886375
2018,2,2,2,0.0
2018,2,2,3,0.0
2018,2,2,4,0.0
2018,2,2,5,0.0
2018,2,2,6,0.0
2018,2,2,7,0.0
2018,2,2,8,0.0
2018,2,2,9,0.0
2018,2,2,10,0.0
2018,2,2,11,0.0
2018,2,2,12,0.0
2018,2,2,13,0.0
2018,2,2,14,11.938242666666667
2018,2,2,15,132.95987845833332
2018,2,2,16,311.7400040000001
2018,2,2,17,398.5954365
2018,2,2,18,452.83606666666674
2018,2,2,19,443.9903111250002
2018,2,2,20,427.41894283333335
2018,2,2,21,434.0973860416667
2018,2,2,22,421.48203675
2018,2,2,23,332.3728605416667
2018,2,2,24,108.84011145833335
2018,2,3,1,1.6918029583333334
2018,2,3,2,0.0
2018,2,3,3,0.0
2018,2,3,4,0.0
2018,2,3,5,0.0
2018,2,3,6,0.0
2018,2,3,7,0.0
2018,2,3,8,0.0
2018,2,3,9,0.0
2018,2,3,10,0.0
2018,2,3,11,0.0
2018,2,3,12,0.0
2018,2,3,13,0.0
2018,2,3,14,4.6583665
2018,2,3,15,56.28216241666668
2018,2,3,16,138.91352633333335
2018,2,3,17,201.43613841666664
2018,2,3,18,224.35784120833333
2018,2,3,19,167.19404979166663
2018,2,3,20,197.96286324999997
2018,2,3,21,270.383219375
2018,2,3,22,296.5548465416668
2018,2,3,23,267.631752625
2018,2,3,24,127.8949439583333
2018,2,4,1,4.5717425
2018,2,4,2,0.0
2018,2,4,3,0.0
2018,2,4,4,0.0
2018,2,4,5,0.0
2018,2,4,6,0.0
2018,2,4,7,0.0
2018,2,4,8,0.0
2018,2,4,9,0.0
2018,2,4,10,0.0
2018,2,4,11,0.0
2018,2,4,12,0.0
2018,2,4,13,0.0
2018,2,4,14,16.9719145
2018,2,4,15,150.84398745833326
2018,2,4,16,337.50200804166667
2018,2,4,17,378.2719240416667
2018,2,4,18,399.01775841666665
2018,2,4,19,426.02840741666665
2018,2,4,20,427.58055487500013
2018,2,4,21,439.57308500000005
2018,2,4,22,442.9237544166668
2018,2,4,23,415.7284705833333
2018,2,4,24,174.978799125
2018,2,5,1,5.980513083333332
2018,2,5,2,0.0
2018,2,5,3,0.0
2018,2,5,4,0.0
2018,2,5,5,0.0
2018,2,5,6,0.0
2018,2,5,7,0.0
2018,2,5,8,0.0
2018,2,5,9,0.0
2018,2,5,10,0.0
2018,2,5,11,0.0
2018,2,5,12,0.0
2018,2,5,13,0.0
2018,2,5,14,21.567100291666662
2018,2,5,15,209.94679841666667
2018,2,5,16,178.785798125
