Year,Month,Day,Period,COPPER_SHEET
2018,2,3,20,34674.402
2018,2,3,21,35178.17
2018,2,3,22,36053.066
2018,2,3,23,37244.113
2018,2,3,24,36764.85
2018,2,4,1,37949.984
2018,2,4,2,37249.0
2018,2,4,3,34720.055
2018,2,4,4,33748.32
2018,2,4,5,30628.088
2018,2,4,6,30949.871
2018,2,4,7,31573.906
2018,2,4,8,30794.635
2018,2,4,9,30817.02
2018,2,4,10,31988.574
2018,2,4,11,33538.09
2018,2,4,12,35682.7
2018,2,4,13,37629.29
2018,2,4,14,38491.773
2018,2,4,15,38579.035
2018,2,4,16,37946.914
2018,2,4,17,37329.42
2018,2,4,18,36292.16
2018,2,4,19,35316.766
2018,2,4,20,34639.15
2018,2,4,21,34210.004
2018,2,4,22,34371.84
2018,2,4,23,35488.13
2018,2,4,24,36433.117
2018,2,5,1,37071.47
2018,2,5,2,36566.703
2018,2,5,3,35765.04
2018,2,5,4,34473.727
2018,2,5,5,33411.93
2018,2,5,6,31809.053
2018,2,5,7,28341.238
2018,2,5,8,29265.48
2018,2,5,9,30224.006
2018,2,5,10,32714.475
2018,2,5,11,36092.195
2018,2,5,12,37334.258
2018,2,5,13,37821.91
2018,2,5,14,38829.33
2018,2,5,15,39847.312
2018,2,5,16,38178.26
2018,2,5,17,38284.63
2018,2,5,18,36672.414
2018,2,5,19,35643.758
2018,2,5,20,35295.047
2018,2,5,21,35171.465
2018,2,5,22,35612.867
2018,2,5,23,35883.38
2018,2,5,24,36023.926
2018,2,6,1,36643.363
2018,2,6,2,35363.355
2018,2,6,3,33899.008
2018,2,6,4,31933.844
2018,2,6,5,31486.982
2018,2,6,6,29887.588
2018,2,6,7,32477.896
2018,2,6,8,32197.582
2018,2,6,9,33432.51
2018,2,6,10,35429.613
2018,2,6,11,36734.664
2018,2,6,12,38855.58
2018,2,6,13,40511.78
2018,2,6,14,41714.82
2018,2,6,15,42155.24
2018,2,6,16,42802.625
2018,2,6,17,42098.996
2018,2,6,18,42291.223
2018,2,6,19,40962.645
2018,2,6,20,40091.535
2018,2,6,21,39206.695
2018,2,6,22,39432.32
2018,2,6,23,39983.87
2018,2,6,24,40150.04
2018,2,7,1,40490.465
2018,2,7,2,39577.92
2018,2,7,3,38494.633
2018,2,7,4,37656.44
2018,2,7,5,36268.19
2018,2,7,6,34674.32
2018,2,7,7,33816.664
2018,2,7,8,32949.562
2018,2,7,9,33934.633
2018,2,7,10,36021.49
2018,2,7,11,38149.47
2018,2,7,12,41020.49
2018,2,7,13,43390.188
2018,2,7,14,43977.594
2018,2,7,15,45340.81
2018,2,7,16,45027.445
2018,2,7,17,43096.594
2018,2,7,18,41725.305
2018,2,7,19,40270.098
2018,2,7,20,39798.543
2018,2,7,21,38433.01
2018,2,7,22,38224.55
2018,2,7,23,39322.598
2018,2,7,24,40474.277
2018,2,8,1,41282.047
2018,2,8,2,40269.008
2018,2,8,3,40169.76
2018,2,8,4,38376.27
2018,2,8,5,37314.77
2018,2,8,6,35746.258
2018,2,8,7,37889.234
2018,2,8,8,34771.305
2018,2,8,9,37319.324
2018,2,8,10,37548.81
2018,2,8,11,37944.027
2018,2,8,12,38782.305
2018,2,8,13,40710.887
2018,2,8,14,43141.73
2018,2,8,15,41911.72
2018,2,8,16,40799.387
2018,2,8,17,41249.445
2018,2,8,18,40495.973
2018,2,8,19,38802.93
2018,2,8,20,37019.28
2018,2,8,21,37161.023
2018,2,8,22,37881.28
2018,2,8,23,37306.918
2018,2,8,24,39222.24
2018,2,9,1,39863.617
2018,2,9,2,39518.03
2018,2,9,3,39704.047
2018,2,9,4,37448.098
2018,2,9,5,36415.742
2018,2,9,6,34540.004
2018,2,9,7,37843.562
2018,2,9,8,35682.47
2018,2,9,9,33767.39
2018,2,9,10,33940.6
2018,2,9,11,38020.12
2018,2,9,12,38511.812
2018,2,9,13,37360.043
2018,2,9,14,38646.03
2018,2,9,15,39004.883
2018,2,9,16,40177.176
2018,2,9,17,37979.434
2018,2,9,18,38090.824
2018,2,9,19,37104.484
2018,2,9,20,35909.75
2018,2,9,21,35435.52
2018,2,9,22,35207.805
2018,2,9,23,36123.676
2018,2,9,24,36718.004
2018,2,10,1,38175.46
2018,2,10,2,37218.53
2018,2,10,3,36095.777
2018,2,10,4,37082.47
2018,2,10,5,33844.992
2018,2,10,6,32668.143
2018,2,10,7,31217.879
2018,2,10,8,29777.803
2018,2,10,9,30560.412
2018,2,10,10,31879.365
2018,2,10,11,33629.41
2018,2,10,12,34992.098
2018,2,10,13,38185.395
2018,2,10,14,40041.41
2018,2,10,15,39940.754
2018,2,10,16,41566.86
2018,2,10,17,40479.77
2018,2,10,18,38853.527
2018,2,10,19,38265.96
2018,2,10,20,38251.418
2018,2,10,21,38463.9
2018,2,10,22,39127.074
2018,2,10,23,39626.61
2018,2,10,24,38741.996
2018,2,11,1,41118.426
2018,2,11,2,42349.203
2018,2,11,3,39075.97
2018,2,11,4,39572.0
2018,2,11,5,38677.88
2018,2,11,6,33596.074
