Year,Month,Day,Period,COPPER_SHEET
2018,2,2,1,38886.637
2018,2,2,2,38289.77
2018,2,2,3,36651.855
2018,2,2,4,34472.06
2018,2,2,5,32785.65
2018,2,2,6,31893.43
2018,2,2,7,31753.295
2018,2,2,8,32051.85
2018,2,2,9,32879.67
2018,2,2,10,34817.746
2018,2,2,11,38493.785
2018,2,2,12,42711.652
2018,2,2,13,43033.88
2018,2,2,14,42634.207
2018,2,2,15,41849.13
2018,2,2,16,40591.676
2018,2,2,17,39066.594
2018,2,2,18,37789.387
2018,2,2,19,36804.8
2018,2,2,20,36067.8
2018,2,2,21,35806.855
2018,2,2,22,36322.293
2018,2,2,23,38136.31
2018,2,2,24,39997.58
2018,2,3,1,40102.58
2018,2,3,2,39922.91
2018,2,3,3,39022.906
2018,2,3,4,37415.426
2018,2,3,5,35859.766
2018,2,3,6,34736.504
2018,2,3,7,34121.38
2018,2,3,8,33956.473
2018,2,3,9,34173.9
2018,2,3,10,34845.043
2018,2,3,11,36238.605
2018,2,3,12,38016.293
2018,2,3,13,39501.17
2018,2,3,14,40451.3
2018,2,3,15,40614.44
2018,2,3,16,40084.78
2018,2,3,17,39136.56
2018,2,3,18,37974.0
2018,2,3,19,36981.92
2018,2,3,20,36290.973
2018,2,3,21,35855.93
2018,2,3,22,35838.44
2018,2,3,23,36852.918
2018,2,3,24,37870.484
2018,2,4,1,37394.637
2018,2,4,2,36678.47
2018,2,4,3,35484.613
2018,2,4,4,33890.05
2018,2,4,5,32352.734
2018,2,4,6,31247.252
2018,2,4,7,30510.812
2018,2,4,8,30142.092
2018,2,4,9,30107.906
2018,2,4,10,30536.93
2018,2,4,11,31392.846
2018,2,4,12,32623.893
2018,2,4,13,33751.863
2018,2,4,14,34679.2
2018,2,4,15,34767.973
2018,2,4,16,34252.05
2018,2,4,17,33960.137
2018,2,4,18,33855.617
2018,2,4,19,33829.332
2018,2,4,20,33895.355
2018,2,4,21,34137.758
2018,2,4,22,34571.3
2018,2,4,23,35225.668
2018,2,4,24,36510.55
2018,2,5,1,36747.55
2018,2,5,2,36478.62
2018,2,5,3,36497.316
2018,2,5,4,35110.812
2018,2,5,5,33700.215
2018,2,5,6,33159.14
2018,2,5,7,33252.574
2018,2,5,8,33736.98
2018,2,5,9,34767.31
2018,2,5,10,36907.695
2018,2,5,11,40736.133
2018,2,5,12,44627.51
2018,2,5,13,45074.63
2018,2,5,14,44340.13
2018,2,5,15,43806.22
2018,2,5,16,43340.95
2018,2,5,17,42647.78
2018,2,5,18,41768.77
2018,2,5,19,40895.13
2018,2,5,20,39948.152
2018,2,5,21,39530.293
2018,2,5,22,39735.44
2018,2,5,23,41133.45
2018,2,5,24,42695.367
2018,2,6,1,42498.63
2018,2,6,2,41590.062
2018,2,6,3,39603.95
2018,2,6,4,37021.914
2018,2,6,5,34997.688
2018,2,6,6,33946.207
2018,2,6,7,33532.996
2018,2,6,8,33507.117
2018,2,6,9,33828.2
2018,2,6,10,35243.047
2018,2,6,11,38414.82
2018,2,6,12,41755.543
2018,2,6,13,41736.152
2018,2,6,14,41560.957
2018,2,6,15,41873.715
2018,2,6,16,41932.914
2018,2,6,17,41744.91
2018,2,6,18,41721.33
2018,2,6,19,41772.84
2018,2,6,20,41899.094
2018,2,6,21,42464.418
2018,2,6,22,43603.363
2018,2,6,23,45414.535
2018,2,6,24,46686.453
2018,2,7,1,46552.25
2018,2,7,2,45597.67
2018,2,7,3,43646.832
2018,2,7,4,41096.223
2018,2,7,5,39169.22
2018,2,7,6,38075.457
2018,2,7,7,37701.035
2018,2,7,8,37765.586
2018,2,7,9,38351.203
2018,2,7,10,40269.074
2018,2,7,11,44133.582
2018,2,7,12,48236.918
2018,2,7,13,48837.61
2018,2,7,14,48942.965
2018,2,7,15,48634.895
2018,2,7,16,47892.746
2018,2,7,17,46706.594
2018,2,7,18,45416.33
2018,2,7,19,44301.94
2018,2,7,20,43506.793
2018,2,7,21,43429.707
2018,2,7,22,44104.613
2018,2,7,23,46187.94
2018,2,7,24,48387.676
2018,2,8,1,48610.48
2018,2,8,2,48103.535
2018,2,8,3,46352.855
2018,2,8,4,43952.777
2018,2,8,5,42210.52
2018,2,8,6,41492.973
2018,2,8,7,41451.81
2018,2,8,8,41771.152
2018,2,8,9,42619.05
2018,2,8,10,44657.01
2018,2,8,11,48637.0
2018,2,8,12,52574.188
2018,2,8,13,51736.0
2018,2,8,14,49247.31
2018,2,8,15,46573.33
2018,2,8,16,43970.406
2018,2,8,17,41640.117
2018,2,8,18,39736.473
2018,2,8,19,38299.785
2018,2,8,20,37387.97
2018,2,8,21,37149.652
2018,2,8,22,37607.695
2018,2,8,23,39312.17
2018,2,8,24,41431.12
2018,2,9,1,41865.656
2018,2,9,2,41512.625
2018,2,9,3,40041.94
2018,2,9,4,37747.105
2018,2,9,5,35852.426
2018,2,9,6,34592.7
